tasklist_id,label,deskripsi,lokasi,detail_lokasi,lokasi_merged,teks_final
8237826,Non TBC,Paritan buntu,Mess Pama,Mess Guest House,"Mess Pama, Mess Guest House","[DESKRIPSI]: Paritan buntu [LOKASI]: Mess Pama, Mess Guest House"
8237130,Non TBC,Label fire alarm tidak ada,Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: Label fire alarm tidak ada [LOKASI]: Towing Tug, TB KSA 104"
8239327,Non TBC,Tali seken towing,Barge,BG PST 315,"Barge, BG PST 315","[DESKRIPSI]: Tali seken towing [LOKASI]: Barge, BG PST 315"
8237769,Non TBC,Jln kosongan undulating,Pit PQRT,Front Loading,"Pit PQRT, Front Loading","[DESKRIPSI]: Jln kosongan undulating [LOKASI]: Pit PQRT, Front Loading"
8237452,Non TBC,Tempat sampa tidak ada label,Towing Tug,TB KSA 73,"Towing Tug, TB KSA 73","[DESKRIPSI]: Tempat sampa tidak ada label [LOKASI]: Towing Tug, TB KSA 73"
8235816,Non TBC,Jalan undulating,Coal Hauling Road,Jl. Barokah,"Coal Hauling Road, Jl. Barokah","[DESKRIPSI]: Jalan undulating [LOKASI]: Coal Hauling Road, Jl. Barokah"
8235410,Non TBC,Sampah penuh,Workshop,Workshop BAR,Workshop BAR,[DESKRIPSI]: Sampah penuh [LOKASI]: Workshop BAR
8240550,Non TBC,Tidak ada demarkasi,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Tidak ada demarkasi [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8237883,Non TBC,Apar tdk pada tempatnya,Towing Tug,TB KSA 89,"Towing Tug, TB KSA 89","[DESKRIPSI]: Apar tdk pada tempatnya [LOKASI]: Towing Tug, TB KSA 89"
8237112,Non TBC,Debu tebal arah rom 24,(B8) ROM,ROM 24,"(B8) ROM, ROM 24","[DESKRIPSI]: Debu tebal arah rom 24 [LOKASI]: (B8) ROM, ROM 24"
8235077,Non TBC,Head down,Office MTL,Office CHCPP MTL,"Office MTL, Office CHCPP MTL","[DESKRIPSI]: Head down [LOKASI]: Office MTL, Office CHCPP MTL"
8234892,Non TBC,Jalan licin pasca hujan,Road Management,Jalan Fitrah,"Road Management, Jalan Fitrah","[DESKRIPSI]: Jalan licin pasca hujan [LOKASI]: Road Management, Jalan Fitrah"
8240607,Non TBC,Batu bara oversize,CPP Binungan,Crusher CPP Bin BC,"CPP Binungan, Crusher CPP Bin BC","[DESKRIPSI]: Batu bara oversize [LOKASI]: CPP Binungan, Crusher CPP Bin BC"
8240594,Non TBC,Jalan licin pasca hujan,Coal Hauling Road,Jl. Barokah,"Coal Hauling Road, Jl. Barokah","[DESKRIPSI]: Jalan licin pasca hujan [LOKASI]: Coal Hauling Road, Jl. Barokah"
8240565,Non TBC,Demarkasi cctv rusak,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Demarkasi cctv rusak [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8240540,Non TBC,Demarkasi area rusak,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Demarkasi area rusak [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8239525,Non TBC,Batu bara oversize,CPP Binungan,Crusher CPP Bin BC,"CPP Binungan, Crusher CPP Bin BC","[DESKRIPSI]: Batu bara oversize [LOKASI]: CPP Binungan, Crusher CPP Bin BC"
8237037,Non TBC,Cas hp lupa di cabut,Alur Sungai,Alur Sungai,Alur Sungai,[DESKRIPSI]: Cas hp lupa di cabut [LOKASI]: Alur Sungai
8236557,Non TBC,Pintu kamar mandi berkarat belum di cat,Towing Tug,TB KSA 97,"Towing Tug, TB KSA 97","[DESKRIPSI]: Pintu kamar mandi berkarat belum di cat [LOKASI]: Towing Tug, TB KSA 97"
8235982,Non TBC,Tdk ada tanda exit pada pintu,Towing Tug,TB KSA 102,"Towing Tug, TB KSA 102","[DESKRIPSI]: Tdk ada tanda exit pada pintu [LOKASI]: Towing Tug, TB KSA 102"
8235868,Non TBC,Jalan akses masuk undulating,(B8) Pit Z,Disposal,"(B8) Pit Z, Disposal","[DESKRIPSI]: Jalan akses masuk undulating [LOKASI]: (B8) Pit Z, Disposal"
8234899,Non TBC,Berdebu,CPP Binungan,Crusher CPP Bin BC,"CPP Binungan, Crusher CPP Bin BC","[DESKRIPSI]: Berdebu [LOKASI]: CPP Binungan, Crusher CPP Bin BC"
8234703,Non TBC,Batu bara oversize,CPP Binungan,Crusher CPP Bin BC,"CPP Binungan, Crusher CPP Bin BC","[DESKRIPSI]: Batu bara oversize [LOKASI]: CPP Binungan, Crusher CPP Bin BC"
8241492,Non TBC,Sampah penuh,(B7) Pit Stop C1 Extend,Pit Stop Loader,"(B7) Pit Stop C1 Extend, Pit Stop Loader","[DESKRIPSI]: Sampah penuh [LOKASI]: (B7) Pit Stop C1 Extend, Pit Stop Loader"
8240678,Non TBC,Kabel charger tidak di cabut,Towing Tug,TB KSA 89,"Towing Tug, TB KSA 89","[DESKRIPSI]: Kabel charger tidak di cabut [LOKASI]: Towing Tug, TB KSA 89"
8237767,Non TBC,Labelling fire alarm tidak ada,Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: Labelling fire alarm tidak ada [LOKASI]: Towing Tug, TB KSA 104"
8237737,Non TBC,labelling fire alarm tidak ada,Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: labelling fire alarm tidak ada [LOKASI]: Towing Tug, TB KSA 104"
8237397,Non TBC,Terdapat spoil di area akses,Area Revegetasi,Project Akatara,"Area Revegetasi, Project Akatara","[DESKRIPSI]: Terdapat spoil di area akses [LOKASI]: Area Revegetasi, Project Akatara"
8237121,Non TBC,Label smoke detector tidak ada,Towing Tug,TB KSA 104,"Towing Tug, TB KSA 104","[DESKRIPSI]: Label smoke detector tidak ada [LOKASI]: Towing Tug, TB KSA 104"
8236870,Non TBC,Lampu emergency tidak ada nama,Towing Tug,TB KSA 100,"Towing Tug, TB KSA 100","[DESKRIPSI]: Lampu emergency tidak ada nama [LOKASI]: Towing Tug, TB KSA 100"
8236627,Non TBC,Jalan berlubang,(B PMO) Pit Q1,Disposal OPD Q1 KDC,"(B PMO) Pit Q1, Disposal OPD Q1 KDC","[DESKRIPSI]: Jalan berlubang [LOKASI]: (B PMO) Pit Q1, Disposal OPD Q1 KDC"
8236423,Non TBC,Jalan masuk disposal undulating,Pit PQRT,Disposal,"Pit PQRT, Disposal","[DESKRIPSI]: Jalan masuk disposal undulating [LOKASI]: Pit PQRT, Disposal"
8235179,Non TBC,Berdebu tebal,Pit East 1,Akses Mine Road,"Pit East 1, Akses Mine Road","[DESKRIPSI]: Berdebu tebal [LOKASI]: Pit East 1, Akses Mine Road"
8200653,8. Deviasi Road Management,Posisi/penempatan pos pengawas terlalu dekat dengan area kerja loader/front loading dan parkiran sarana juga sudah masuk radius pergerakan loader dan hauler,Project LMO,[Non Aktif] Project Rehendling Soil OPP,"Project LMO, [Non Aktif] Project Rehendling Soil OPP","[DESKRIPSI]: Posisi/penempatan pos pengawas terlalu dekat dengan area kerja loader/front loading dan parkiran sarana juga sudah masuk radius pergerakan loader dan hauler [LOKASI]: Project LMO, [Non Aktif] Project Rehendling Soil OPP"
8237330,8. Deviasi Road Management,Jalan licin,Project Diversion Selatan PAMA,Akses Road Diversion,"Project Diversion Selatan PAMA, Akses Road Diversion","[DESKRIPSI]: Jalan licin [LOKASI]: Project Diversion Selatan PAMA, Akses Road Diversion"
7143261,2. Deviasi penggunaan APD,Pada saat bekerja pada ketinggian exkm21046 teknisi mengkaitkan layard pada titik yang tidak kuat/ dan hanya pada satu titik anchor yang sama,,,,[DESKRIPSI]: Pada saat bekerja pada ketinggian exkm21046 teknisi mengkaitkan layard pada titik yang tidak kuat/ dan hanya pada satu titik anchor yang sama
8239655,Non TBC,Patol retro rebah,(B PMO) Pit Q1,Mine Road Access KDC,"(B PMO) Pit Q1, Mine Road Access KDC","[DESKRIPSI]: Patol retro rebah [LOKASI]: (B PMO) Pit Q1, Mine Road Access KDC"
8238851,Non TBC,Operator yawning,(B8) Pit J,Front Loading OB,"(B8) Pit J, Front Loading OB","[DESKRIPSI]: Operator yawning [LOKASI]: (B8) Pit J, Front Loading OB"
8237547,Non TBC,Label APAR tidak terpasang,Towing Tug,TB KSA 35,"Towing Tug, TB KSA 35","[DESKRIPSI]: Label APAR tidak terpasang [LOKASI]: Towing Tug, TB KSA 35"
8236647,Non TBC,Lampu emergency tidak ada lebel sefty nya,Towing Tug,TB KSA 97,"Towing Tug, TB KSA 97","[DESKRIPSI]: Lampu emergency tidak ada lebel sefty nya [LOKASI]: Towing Tug, TB KSA 97"
8236100,Non TBC,Nasi sudah basi masak yang baru,Towing Tug,TB KSA 29,"Towing Tug, TB KSA 29","[DESKRIPSI]: Nasi sudah basi masak yang baru [LOKASI]: Towing Tug, TB KSA 29"
8240824,Non TBC,Rambu pondok pengawas rebah,Pit SE2,Front Loading,"Pit SE2, Front Loading","[DESKRIPSI]: Rambu pondok pengawas rebah [LOKASI]: Pit SE2, Front Loading"
8240578,Non TBC,Rambu rebah,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Rambu rebah [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8240389,Non TBC,Ditemukan rambu rebah,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Ditemukan rambu rebah [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8240003,Non TBC,Hate bukan pada tempatnya,Towing Tug,TB KSA 94,"Towing Tug, TB KSA 94","[DESKRIPSI]: Hate bukan pada tempatnya [LOKASI]: Towing Tug, TB KSA 94"
8239356,Non TBC,Tempat sampah penuh,Area DNX,Office DNX,"Area DNX, Office DNX","[DESKRIPSI]: Tempat sampah penuh [LOKASI]: Area DNX, Office DNX"
8239264,Non TBC,Rambu Rebah,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Rambu Rebah [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8236874,Non TBC,Tidak ada penandaan pada apar,Towing Tug,TB KSA 160,"Towing Tug, TB KSA 160","[DESKRIPSI]: Tidak ada penandaan pada apar [LOKASI]: Towing Tug, TB KSA 160"
8236782,Non TBC,Colokan listrik berserakan,Towing Tug,TB KSA 36,"Towing Tug, TB KSA 36","[DESKRIPSI]: Colokan listrik berserakan [LOKASI]: Towing Tug, TB KSA 36"
8236693,Non TBC,Bola lampu di ruang SGI mati,(BC) Area Office,Kantor BC,"(BC) Area Office, Kantor BC","[DESKRIPSI]: Bola lampu di ruang SGI mati [LOKASI]: (BC) Area Office, Kantor BC"
8235700,Non TBC,Opt c7160 fatique,Pit PQRT,Parking Area/ HSSC,"Pit PQRT, Parking Area/ HSSC","[DESKRIPSI]: Opt c7160 fatique [LOKASI]: Pit PQRT, Parking Area/ HSSC"
8235624,Non TBC,Rambu penunjuk arah rebah,(B PMO) Project,Disposal IPD K12 KDC,"(B PMO) Project, Disposal IPD K12 KDC","[DESKRIPSI]: Rambu penunjuk arah rebah [LOKASI]: (B PMO) Project, Disposal IPD K12 KDC"
8235487,Non TBC,AC Kurang Dingin,(B8) Container big Digger,Office,"(B8) Container big Digger, Office","[DESKRIPSI]: AC Kurang Dingin [LOKASI]: (B8) Container big Digger, Office"
8234911,Non TBC,Spoil menyebabkan penyempitan jalan,Pit East 1,Akses Mine Road,"Pit East 1, Akses Mine Road","[DESKRIPSI]: Spoil menyebabkan penyempitan jalan [LOKASI]: Pit East 1, Akses Mine Road"
7316569,Non TBC,Tidak ada barikade unit loadpro 1108 BD di pit stop,,,,[DESKRIPSI]: Tidak ada barikade unit loadpro 1108 BD di pit stop
8241015,Non TBC,Akses jalan undulating,(B8) Pit J,Front Loading Coal,"(B8) Pit J, Front Loading Coal","[DESKRIPSI]: Akses jalan undulating [LOKASI]: (B8) Pit J, Front Loading Coal"
8240353,Non TBC,Belum ada rambu,Aktivitas Area High Risk,Crossing Pit West PAMA,"Aktivitas Area High Risk, Crossing Pit West PAMA","[DESKRIPSI]: Belum ada rambu [LOKASI]: Aktivitas Area High Risk, Crossing Pit West PAMA"
8239946,Non TBC,Jalan Ubud Undulating,(B8) Road Management,Jln. Ubud,"(B8) Road Management, Jln. Ubud","[DESKRIPSI]: Jalan Ubud Undulating [LOKASI]: (B8) Road Management, Jln. Ubud"
8239262,Non TBC,Rambu Miring,(B PMO) Project,Project Underpass BC PMO,"(B PMO) Project, Project Underpass BC PMO","[DESKRIPSI]: Rambu Miring [LOKASI]: (B PMO) Project, Project Underpass BC PMO"
8238935,Non TBC,Jalan undulating,(B8) Road Management,Jln. Panarukan,"(B8) Road Management, Jln. Panarukan","[DESKRIPSI]: Jalan undulating [LOKASI]: (B8) Road Management, Jln. Panarukan"
8238910,Non TBC,Rambu rebah,(B PMO) Hauling Road,Simpang Sulawesi KDC,"(B PMO) Hauling Road, Simpang Sulawesi KDC","[DESKRIPSI]: Rambu rebah [LOKASI]: (B PMO) Hauling Road, Simpang Sulawesi KDC"
8238385,Non TBC,panel terbuka,Assist Tug Sungai,TB DL 09,"Assist Tug Sungai, TB DL 09","[DESKRIPSI]: panel terbuka [LOKASI]: Assist Tug Sungai, TB DL 09"
8236664,Non TBC,Rambu parkir sd terlilit dgn rumput,WMP 17 LT,Infrastruktur WMP,"WMP 17 LT, Infrastruktur WMP","[DESKRIPSI]: Rambu parkir sd terlilit dgn rumput [LOKASI]: WMP 17 LT, Infrastruktur WMP"
8236000,Non TBC,Safety line putus,Pit PQRT,[Area Kritis] Drill & Blast,"Pit PQRT, [Area Kritis] Drill & Blast","[DESKRIPSI]: Safety line putus [LOKASI]: Pit PQRT, [Area Kritis] Drill & Blast"
