true_label,teks_final,pred_final,correct,pred_run1,pred_run2,pred_run3,pred_run4,pred_run5
Non TBC,"[DESKRIPSI]: Terdapat charger laptop dalam keadaan kabel terbuka dan terkelupas [LOKASI]: EKSPLORASI GURIMBANG, AREA AKTIFITAS SURVEY",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Tali tambat buritan belum di rapikan [LOKASI]: Towing Tug, TB PANCARAN 311",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Terdapat tumpukan material tidak disimpan pada tempat yang sudah disediakan [LOKASI]: Crusher 02 dan OLC, Tunnel",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Berdebu tebal [LOKASI]: Pit East 1, Akses Mine Road",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Batu bara tumpah [LOKASI]: CPP Binungan, TLC CPP Bin BC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,"[DESKRIPSI]: Penerangan kurang [LOKASI]: Pit East 2, Loading Point Coal",4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,True,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur
Non TBC,"[DESKRIPSI]: Kassa turbo kotor [LOKASI]: Towing Tug, TB PERKASA 2",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: Tampungan berisi berada di tempat terbuka agar segera dipindah ke tempat tertutup [LOKASI]: Workshop MTN 056,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Apar belum di inspeksi [LOKASI]: Main Workshop Pama, Bays 1 (Wheel)",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Belum ada rambu di persimpangan disposal [LOKASI]: Project Diversion Selatan PAMA, Front Dumping Disposal PAMA",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,[DESKRIPSI]: tumpahan oli di slewing crane licin,Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Buang sampah absorbent ke tempat B3 [LOKASI]: (B PMO) Workshop, Workshop Temporary KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Sampah belum diangkut [LOKASI]: Change shift Barokah LD/DT, Akses Jalan Change Shift",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: komputer tidak dimatikan ketika selesai bekerja [LOKASI]: (B8) Infrastucture Tambang, Office Champion",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Label APAR tidak terpasang [LOKASI]: Towing Tug, TB KSA 35",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Penutup smoke detector di salon belum di lepas [LOKASI]: Towing Tug, TB KSA 73",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Belum terpasang rambu di muara simpang front 6015_03&6015_25 [LOKASI]: Pit PQRT, Front Loading",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Strainer Air laut ME Kotor [LOKASI]: Towing Tug, TB KSA 160",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
5. Deviasi Loading/Dumping,[DESKRIPSI]: Ban menyentuh tanggil,Non TBC,False,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Opt c7160 fatique [LOKASI]: Pit PQRT, Parking Area/ HSSC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Kondisi jalan pit j barat berdebu [LOKASI]: (B8) Pit J, Front Loading OB",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Kondisi tangga pompa rusak tidak pada posisinya [LOKASI]: Aktivitas Area High Risk, IKDW Stage 4 KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Rumput lebat di tanaman buah-buahan berpotensi terdapat sarang ular dan penyengat [LOKASI]: Office CPP PT BC, Infrastruktur Office BC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Ditemukan rambu STOP rebah di akses keluar office, yg berpotensi unit melanggar rambu tsb, dikarenakan rambu rebah dan tidak terlihat [LOKASI]: (B PMO) Office, Office KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Isi kotak P3K tidak lengkap [LOKASI]: (B PMO) Office, Office KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
14. Technology,"[DESKRIPSI]: Terdapat Cctv pada area pit gurimbang utara tidak aktif [LOKASI]: Office Mining PT BC, Infrastruktur Office BC",Non TBC,False,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
5. Deviasi Loading/Dumping,"[DESKRIPSI]: Tanggul disposal Ipd ch belum standart [LOKASI]: (B8) Pit CH, Disposal Kering IPD CH",Non TBC,False,Non TBC,Non TBC,Non TBC,4. Posisi Pekerja pada Area Tidak aman/Tidak Sesuai Prosedur,Non TBC
Non TBC,"[DESKRIPSI]: Terdapat mata gerinda yang sudah limit atau tidak layak [LOKASI]: Workshop BMC, Bays Maintenance",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
6. Tidak terdapat pengawas/pengawas tidak memadai,[DESKRIPSI]: Pengawas non HR di area HR,Non TBC,False,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
5. Deviasi Loading/Dumping,"[DESKRIPSI]: terdapat bendera batas dumping/dumping limiter tidak update [LOKASI]: Project Rehandling Soil OPP, Disposal",Non TBC,False,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: (IT) lampu mayang PM 130 mati [LOKASI]: (B8) Infrastucture Tambang, Office Champion",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Wilnat LV 111 kurang satu [LOKASI]: Office MTL, Office Cokelat",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
Non TBC,"[DESKRIPSI]: Jalan berdebu [LOKASI]: (B PMO) Hauling Road, Jalan Hauling Agatis KDC",Non TBC,True,Non TBC,Non TBC,Non TBC,Non TBC,Non TBC
